pc,caller_label,mnemonic,target,instruction
0000,L0000,LJMP,L0000,LJMP L0000
0008,L0000,JBC,L0011,"JBC 20h.3,L0011"
000B,L0000,LJMP,L59EF,LJMP L59EF
0023,L0011,LJMP,L59B8,LJMP L59B8
002F,L0011,LCALL,L03BF,LCALL L03BF
0032,L0011,JB,L0037,"JB ACC.0,L0037"
003C,L0037,LCALL,L03CC,LCALL L03CC
0044,L0037,LCALL,L03CC,LCALL L03CC
004C,L0037,LCALL,L03CC,LCALL L03CC
0054,L0037,LCALL,L03CC,LCALL L03CC
0057,L0037,LCALL,L160A,LCALL L160A
005A,L0037,JZ,L006C,JZ L006C
0061,L0037,LCALL,L03CC,LCALL L03CC
0069,L0037,LCALL,L03CC,LCALL L03CC
0079,L0077,DJNZ,L0077,"DJNZ R0,L0077"
008F,L0081,CJNE,L0081,"CJNE A,#10h,L0081"
0094,L0094,DJNZ,L0094,"DJNZ R2,L0094"
0096,L0094,DJNZ,L0094,"DJNZ R1,L0094"
009C,L0094,JNB,L00A1,"JNB ACC.4,L00A1"
00A1,L00A1,LCALL,L046E,LCALL L046E
00CA,L00A1,JB,L00D1,"JB ACC.4,L00D1"
00D5,L00D1,JB,L0108,"JB ACC.6,L0108"
00DB,L00D1,LCALL,L05F6,LCALL L05F6
00DE,L00D1,CJNE,L00EB,"CJNE A,07h,L00EB"
00E2,L00D1,LCALL,L05F6,LCALL L05F6
00E5,L00D1,CJNE,L00EB,"CJNE A,06h,L00EB"
00E8,L00D1,LJMP,L0108,LJMP L0108
00F4,L00F0,CJNE,L00F0,"CJNE R0,#24h,L00F0"
00FB,L00F0,LCALL,L0603,LCALL L0603
0100,L00F0,LCALL,L0603,LCALL L0603
010C,L0108,JB,L0112,"JB ACC.6,L0112"
010F,L010F,LJMP,L0179,LJMP L0179
0119,L0116,CJNE,L011C,"CJNE R3,#07h,L011C"
011C,L011C,JNC,L0123,JNC L0123
011F,L011C,CJNE,L0122,"CJNE R3,#03h,L0122"
012C,L0123,LCALL,L03D3,LCALL L03D3
013B,L0123,JB,L0150,"JB ACC.4,L0150"
0144,L0123,LCALL,L03D3,LCALL L03D3
0147,L0123,LCALL,L04C4,LCALL L04C4
014B,L0123,DJNZ,L0116,"DJNZ R3,L0116"
014D,L0123,LJMP,L01B3,LJMP L01B3
0154,L0150,LCALL,L03D3,LCALL L03D3
0159,L0150,LCALL,L04C4,LCALL L04C4
0160,L0150,LCALL,L03D3,LCALL L03D3
016D,L0150,LCALL,L03D3,LCALL L03D3
0170,L0150,LCALL,L04C4,LCALL L04C4
0174,L0150,DJNZ,L0116,"DJNZ R3,L0116"
0176,L0150,LJMP,L01B3,LJMP L01B3
0179,L0179,LCALL,L15F7,LCALL L15F7
017C,L0179,JNZ,L01B3,JNZ L01B3
0191,L0179,JB,L019C,"JB ACC.4,L019C"
0199,L0179,LJMP,L01B0,LJMP L01B0
01A1,L019C,LCALL,L04C4,LCALL L04C4
01B0,L01B0,LCALL,L04C4,LCALL L04C4
01BF,L01B3,LCALL,L04C4,LCALL L04C4
01C8,L01B3,CJNE,L01E3,"CJNE A,#0Bh,L01E3"
01DD,L01D5,JNC,L01E1,JNC L01E1
01E1,L01E1,DJNZ,L01D5,"DJNZ R2,L01D5"
01E9,L01E3,CJNE,L01EC,"CJNE A,#06h,L01EC"
01EC,L01EC,JC,L01F0,JC L01F0
01F4,L01F0,JNB,L0202,"JNB ACC.7,L0202"
01FD,L01F0,CJNE,L0200,"CJNE A,#0Ah,L0200"
0200,L0200,JC,L0205,JC L0205
0202,L0202,LCALL,L0478,LCALL L0478
020B,L0205,CJNE,L020E,"CJNE A,#07h,L020E"
020E,L020E,JC,L0213,JC L0213
0213,L0213,JB,L0221,"JB 2Bh.2,L0221"
021C,L0213,CJNE,L021F,"CJNE A,#0Ah,L021F"
021F,L021F,JC,L0222,JC L0222
0224,L0222,JB,L0236,"JB 2Bh.2,L0236"
022A,L0222,LCALL,L03D3,LCALL L03D3
0232,L0222,JZ,L0236,JZ L0236
023A,L0236,LCALL,L0410,LCALL L0410
023D,L0236,LCALL,L045A,LCALL L045A
0248,L0236,JB,L025A,"JB ACC.0,L025A"
0254,L0236,JB,L025A,"JB ACC.6,L025A"
0257,L0236,LCALL,L5600,LCALL L5600
026A,L025A,JNB,L026F,"JNB ACC.5,L026F"
02A8,L026F,JNB,L02AE,"JNB ACC.0,L02AE"
02AB,L026F,LCALL,L4618,LCALL L4618
02AE,L02AE,JNB,L02B4,"JNB PSW.1,L02B4"
02B1,L02AE,LCALL,L5948,LCALL L5948
02B8,L02B4,JB,L02BE,"JB ACC.0,L02BE"
02BB,L02B4,LJMP,L0318,LJMP L0318
02C2,L02BE,JB,L0306,"JB ACC.3,L0306"
02D1,L02BE,CJNE,L02D4,"CJNE A,00h,L02D4"
02D4,L02D4,JC,L02EB,JC L02EB
02DC,L02D4,CJNE,L02DF,"CJNE A,00h,L02DF"
02DF,L02DF,JC,L02E7,JC L02E7
02EF,L02EB,LCALL,L0532,LCALL L0532
02F6,L02EB,LCALL,L0532,LCALL L0532
02FD,L02EB,LCALL,L0532,LCALL L0532
0300,L02EB,LCALL,L0577,LCALL L0577
0303,L02EB,LJMP,L0318,LJMP L0318
030C,L0306,CJNE,L030F,"CJNE A,#0Ah,L030F"
030F,L030F,JC,L0318,JC L0318
0324,L0318,JNB,L0332,"JNB ACC.7,L0332"
032F,L0318,LJMP,L033C,LJMP L033C
034C,L033C,LJMP,L585F,LJMP L585F
0351,L034F,CJNE,L0357,"CJNE @R0,#03h,L0357"
035D,L0357,CJNE,L036E,"CJNE @R0,#03h,L036E"
0362,L0357,LJMP,L036E,LJMP L036E
0369,L0365,CJNE,L036E,"CJNE @R0,#09h,L036E"
037A,L0379,JNZ,L037F,JNZ L037F
038A,L0385,DJNZ,L0385,"DJNZ R2,L0385"
03A6,L03A3,JNZ,L03AB,JNZ L03AB
03B8,L03B2,DJNZ,L03B2,"DJNZ R2,L03B2"
03E2,L03D6,LCALL,L387A,LCALL L387A
03E8,L03D6,CJNE,L03EC,"CJNE R3,#01h,L03EC"
0406,L0406,ACALL,L03F3,ACALL L03F3
040E,L0406,SJMP,L03D6,SJMP L03D6
0410,L0410,JB,L044E,"JB 2Bh.2,L044E"
041D,L0410,JNZ,L0426,JNZ L0426
0428,L0426,ACALL,L03D3,ACALL L03D3
0430,L042A,DJNZ,L0435,"DJNZ R2,L0435"
0432,L042A,LJMP,L044D,LJMP L044D
0440,L0435,DJNZ,L0445,"DJNZ R2,L0445"
0442,L0435,LJMP,L044D,LJMP L044D
0456,L044E,ACALL,L03D6,ACALL L03D6
0458,L044E,SJMP,L042A,SJMP L042A
046B,L0467,DJNZ,L0467,"DJNZ R2,L0467"
046E,L046E,JNB,L0477,"JNB 27h.4,L0477"
047D,L0478,LCALL,L0490,LCALL L0490
0481,L0478,LCALL,L0490,LCALL L0490
048C,L0478,LCALL,L04B9,LCALL L04B9
049F,L049C,LJMP,L04AC,LJMP L04AC
04A9,L04A2,LJMP,L04B0,LJMP L04B0
04B6,L04B0,DJNZ,L04B0,"DJNZ R2,L04B0"
04C1,L04BD,DJNZ,L04BD,"DJNZ R2,L04BD"
04D8,L04C4,DJNZ,L04C4,"DJNZ R2,L04C4"
04DD,L04DB,JNB,L04E3,"JNB B.3,L04E3"
04E0,L04DB,LCALL,L0500,LCALL L0500
04E4,L04E3,JNB,L04EA,"JNB B.4,L04EA"
04E7,L04E3,LCALL,L0500,LCALL L0500
04EB,L04EA,JNB,L04F1,"JNB B.5,L04F1"
04EE,L04EA,LCALL,L0500,LCALL L0500
04F2,L04F1,JNB,L04F8,"JNB B.6,L04F8"
04F5,L04F1,LCALL,L0500,LCALL L0500
04F9,L04F8,JNB,L04FF,"JNB B.7,L04FF"
04FC,L04F8,LCALL,L0500,LCALL L0500
0505,L0505,JNB,L050B,"JNB B.3,L050B"
0508,L0505,LCALL,L052C,LCALL L052C
050D,L050B,JNB,L0513,"JNB B.4,L0513"
0510,L050B,LCALL,L052C,LCALL L052C
0515,L0513,JNB,L051B,"JNB B.5,L051B"
0518,L0513,LCALL,L052C,LCALL L052C
051D,L051B,JNB,L0523,"JNB B.6,L0523"
0520,L051B,LCALL,L052C,LCALL L052C
0525,L0523,JNB,L052B,"JNB B.7,L052B"
0528,L0523,LCALL,L052C,LCALL L052C
053C,L0536,CJNE,L0557,"CJNE A,04h,L0557"
054F,L0536,CJNE,L0557,"CJNE A,01h,L0557"
0558,L0557,CJNE,L055E,"CJNE A,#0FFh,L055E"
055B,L0557,LJMP,L0566,LJMP L0566
0563,L055E,CJNE,L0536,"CJNE A,01h,L0536"
0571,L0566,CJNE,L0574,"CJNE R2,#0Bh,L0574"
0574,L0574,JC,L0566,JC L0566
057B,L0577,JB,L0581,"JB ACC.0,L0581"
057E,L0577,LJMP,L05F5,LJMP L05F5
0585,L0581,JNB,L058B,"JNB ACC.3,L058B"
0588,L0581,LJMP,L05EF,LJMP L05EF
058F,L058B,JNB,L059A,"JNB ACC.1,L059A"
0594,L058B,CJNE,L059A,"CJNE A,#00h,L059A"
0597,L058B,LJMP,L05EF,LJMP L05EF
059E,L059A,CJNE,L05A1,"CJNE A,7Ch,L05A1"
05A1,L05A1,JNC,L05A6,JNC L05A6
05A3,L05A1,LJMP,L05EF,LJMP L05EF
05BC,L05B7,CJNE,L05C2,"CJNE A,#0Fh,L05C2"
05BF,L05B7,LJMP,L05F5,LJMP L05F5
05C2,L05C2,CJNE,L05B7,"CJNE A,7Ch,L05B7"
05CB,L05C2,CJNE,L05D1,"CJNE A,#00h,L05D1"
05CE,L05C2,LJMP,L05E2,LJMP L05E2
05DF,L05D1,CJNE,L05D1,"CJNE A,#00h,L05D1"
0615,L0610,AJMP,L03CC,AJMP L03CC
061C,L0617,AJMP,L03CC,AJMP L03CC
0632,L061E,JC,L0639,JC L0639
