flag,pc,label,op,target,line
20h.3,0008,L0000,JBC,L0011,"0008:  10 03 06  JBC 20h.3,L0011"
25h.2,0240,L0236,SETB,,0240:  D2 2A     SETB 25h.2
24h.4,0245,L0236,SETB,,0245:  D2 24     SETB 24h.4
23h.7,024E,L0236,SETB,,024E:  D2 1F     SETB 23h.7
23h.6,0357,L0357,SETB,,0357:  D2 1E     SETB 23h.6
24h.3,07A7,L07A5,SETB,,07A7:  D2 23     SETB 24h.3
24h.3,07D3,L07AC,SETB,,07D3:  D2 23     SETB 24h.3
24h.3,0812,L080F,SETB,,0812:  D2 23     SETB 24h.3
24h.3,0905,L08F8,SETB,,0905:  D2 23     SETB 24h.3
24h.3,0A08,L0A06,SETB,,0A08:  D2 23     SETB 24h.3
24h.4,0A8A,L0A7E,SETB,,0A8A:  D2 24     SETB 24h.4
24h.5,0B1D,L0B06,SETB,,0B1D:  D2 25     SETB 24h.5
24h.3,0EE3,L0ED3,SETB,,0EE3:  D2 23     SETB 24h.3
24h.3,0F04,L0EFF,SETB,,0F04:  D2 23     SETB 24h.3
25h.2,0F42,L0F3B,SETB,,0F42:  D2 2A     SETB 25h.2
24h.3,0FCA,L0FC8,SETB,,0FCA:  D2 23     SETB 24h.3
24h.3,0FF7,L0FF4,SETB,,0FF7:  D2 23     SETB 24h.3
24h.3,1017,L100D,SETB,,1017:  D2 23     SETB 24h.3
24h.4,10B7,L10A8,SETB,,10B7:  D2 24     SETB 24h.4
24h.4,113B,L1138,SETB,,113B:  D2 24     SETB 24h.4
24h.5,118C,L1187,JB,L119C,"118C:  20 25 0D  JB 24h.5,L119C"
24h.3,129A,L1297,SETB,,129A:  D2 23     SETB 24h.3
24h.3,12ED,L12E7,SETB,,12ED:  D2 23     SETB 24h.3
24h.3,1362,L1357,SETB,,1362:  D2 23     SETB 24h.3
25h.2,172E,L172C,SETB,,172E:  D2 2A     SETB 25h.2
23h.7,173C,L1736,SETB,,173C:  D2 1F     SETB 23h.7
24h.4,1798,L178E,SETB,,1798:  D2 24     SETB 24h.4
24h.3,18CB,L18B9,SETB,,18CB:  D2 23     SETB 24h.3
23h.7,1930,L192A,SETB,,1930:  D2 1F     SETB 23h.7
24h.4,1943,L1940,SETB,,1943:  D2 24     SETB 24h.4
24h.4,195C,L1956,SETB,,195C:  D2 24     SETB 24h.4
25h.2,1ADB,L1AC8,SETB,,1ADB:  D2 2A     SETB 25h.2
24h.4,1C61,L1C5C,SETB,,1C61:  D2 24     SETB 24h.4
24h.4,1CA0,L1C93,SETB,,1CA0:  D2 24     SETB 24h.4
23h.7,1D1F,L1D1F,SETB,,1D1F:  D2 1F     SETB 23h.7
25h.2,1D33,L1D2C,SETB,,1D33:  D2 2A     SETB 25h.2
23h.5,1D72,L1D6F,SETB,,1D72:  D2 1D     SETB 23h.5
25h.2,1DA8,L1D9E,SETB,,1DA8:  D2 2A     SETB 25h.2
23h.7,1DAC,L1DAA,SETB,,1DAC:  D2 1F     SETB 23h.7
23h.7,1E87,L1E81,SETB,,1E87:  D2 1F     SETB 23h.7
25h.2,1EC1,L1EB2,SETB,,1EC1:  D2 2A     SETB 25h.2
23h.7,1EC5,L1EC3,SETB,,1EC5:  D2 1F     SETB 23h.7
24h.4,1F22,L1F1F,SETB,,1F22:  D2 24     SETB 24h.4
24h.4,1F95,L1F80,SETB,,1F95:  D2 24     SETB 24h.4
2Eh.0,2122,L2122,SETB,,2122:  D2 70     SETB 2Eh.0
25h.2,214E,L2145,SETB,,214E:  D2 2A     SETB 25h.2
2Eh.0,21C1,L21C1,SETB,,21C1:  D2 70     SETB 2Eh.0
24h.3,21C9,L21C9,SETB,,21C9:  D2 23     SETB 24h.3
23h.7,2248,L2248,SETB,,2248:  D2 1F     SETB 23h.7
25h.2,2262,L225D,SETB,,2262:  D2 2A     SETB 25h.2
25h.2,22FE,L22FC,SETB,,22FE:  D2 2A     SETB 25h.2
25h.2,232B,L2320,SETB,,232B:  D2 2A     SETB 25h.2
25h.2,263F,L263C,SETB,,263F:  D2 2A     SETB 25h.2
25h.2,2665,L265A,SETB,,2665:  D2 2A     SETB 25h.2
24h.4,2727,L2727,SETB,,2727:  D2 24     SETB 24h.4
25h.2,2797,L2797,SETB,,2797:  D2 2A     SETB 25h.2
23h.7,27B5,L27B2,SETB,,27B5:  D2 1F     SETB 23h.7
25h.2,28FA,L28F5,SETB,,28FA:  D2 2A     SETB 25h.2
23h.7,29A6,L299C,SETB,,29A6:  D2 1F     SETB 23h.7
2Eh.0,29B9,L29B9,SETB,,29B9:  D2 70     SETB 2Eh.0
25h.2,29C6,L29C1,SETB,,29C6:  D2 2A     SETB 25h.2
25h.2,29D3,L29CE,SETB,,29D3:  D2 2A     SETB 25h.2
24h.4,2A86,L2A83,SETB,,2A86:  D2 24     SETB 24h.4
23h.7,2AEB,L2AEB,SETB,,2AEB:  D2 1F     SETB 23h.7
23h.7,2AF3,L2AF3,SETB,,2AF3:  D2 1F     SETB 23h.7
25h.2,2AFD,L2AFB,SETB,,2AFD:  D2 2A     SETB 25h.2
25h.2,2B50,L2B49,SETB,,2B50:  D2 2A     SETB 25h.2
25h.2,2B86,L2B70,SETB,,2B86:  D2 2A     SETB 25h.2
25h.2,2BD7,L2BD7,SETB,,2BD7:  D2 2A     SETB 25h.2
20h.2,2CC9,L2CC9,SETB,,2CC9:  D2 02     SETB 20h.2
24h.5,2D9B,L2D74,SETB,,2D9B:  D2 25     SETB 24h.5
24h.3,2F73,L2F70,SETB,,2F73:  D2 23     SETB 24h.3
24h.7,32DA,L32B1,SETB,,32DA:  D2 27     SETB 24h.7
24h.6,337E,L337E,SETB,,337E:  D2 26     SETB 24h.6
24h.7,33BC,L33BC,SETB,,33BC:  D2 27     SETB 24h.7
24h.3,3489,L3480,SETB,,3489:  D2 23     SETB 24h.3
24h.3,349A,L3491,SETB,,349A:  D2 23     SETB 24h.3
24h.3,34C6,L34BA,SETB,,34C6:  D2 23     SETB 24h.3
24h.3,3507,L34FC,SETB,,3507:  D2 23     SETB 24h.3
24h.3,3541,L353C,SETB,,3541:  D2 23     SETB 24h.3
24h.3,3565,L3560,SETB,,3565:  D2 23     SETB 24h.3
23h.5,3570,L356D,SETB,,3570:  D2 1D     SETB 23h.5
24h.3,3595,L3590,SETB,,3595:  D2 23     SETB 24h.3
24h.3,35A1,L359C,SETB,,35A1:  D2 23     SETB 24h.3
23h.5,35C0,L35BD,SETB,,35C0:  D2 1D     SETB 23h.5
24h.3,3607,L3607,SETB,,3607:  D2 23     SETB 24h.3
24h.3,3641,L3641,SETB,,3641:  D2 23     SETB 24h.3
