pc,label,kind,dptr,instruction
0029,L0011,read,0464,"MOVX A,@DPTR"
0081,L0081,read,0000,"MOVX A,@DPTR"
0087,L0081,read,0000,"MOVX A,@DPTR"
009B,L0094,read,0469,"MOVX A,@DPTR"
00AC,L00A1,read,223B,"MOVX A,@DPTR"
00B2,L00A1,read,223C,"MOVX A,@DPTR"
00B8,L00A1,read,223D,"MOVX A,@DPTR"
00BF,L00A1,read,223E,"MOVX A,@DPTR"
00C2,L00A1,write,223E,"MOVX @DPTR,A"
00C6,L00A1,read,0464,"MOVX A,@DPTR"
00D4,L00D1,read,046A,"MOVX A,@DPTR"
00F0,L00F0,write,2000,"MOVX @DPTR,A"
0107,L00F0,write,2258,"MOVX @DPTR,A"
010B,L0108,read,047E,"MOVX A,@DPTR"
0123,L0123,read,0475,"MOVX A,@DPTR"
0131,L0123,write,2000,"MOVX @DPTR,A"
013A,L0123,read,046C,"MOVX A,@DPTR"
0181,L0179,read,0475,"MOVX A,@DPTR"
0187,L0179,write,2000,"MOVX @DPTR,A"
0190,L0179,read,046C,"MOVX A,@DPTR"
01C5,L01B3,read,2100,"MOVX A,@DPTR"
01CF,L01B3,write,21B9,"MOVX @DPTR,A"
01D6,L01D5,write,2020,"MOVX @DPTR,A"
01E6,L01E3,read,2199,"MOVX A,@DPTR"
01EF,L01EC,write,2199,"MOVX @DPTR,A"
01F3,L01F0,read,0469,"MOVX A,@DPTR"
01FA,L01F0,read,21F3,"MOVX A,@DPTR"
0208,L0205,read,218C,"MOVX A,@DPTR"
0212,L020E,write,218C,"MOVX @DPTR,A"
0219,L0213,read,218D,"MOVX A,@DPTR"
022D,L0222,read,2000,"MOVX A,@DPTR"
0253,L0236,read,046C,"MOVX A,@DPTR"
025E,L025A,write,21E1,"MOVX @DPTR,A"
0262,L025A,write,21CA,"MOVX @DPTR,A"
0269,L025A,read,0466,"MOVX A,@DPTR"
0295,L026F,write,2197,"MOVX @DPTR,A"
029F,L026F,read,0483,"MOVX A,@DPTR"
02A3,L026F,write,2191,"MOVX @DPTR,A"
02A7,L026F,read,0464,"MOVX A,@DPTR"
02B7,L02B4,read,046A,"MOVX A,@DPTR"
02C1,L02BE,read,046C,"MOVX A,@DPTR"
02C8,L02BE,read,0485,"MOVX A,@DPTR"
02CE,L02BE,read,21FB,"MOVX A,@DPTR"
02D9,L02D4,read,21FA,"MOVX A,@DPTR"
02E6,L02DF,write,21FA,"MOVX @DPTR,A"
02EA,L02E7,write,21FB,"MOVX @DPTR,A"
0309,L0306,read,21FA,"MOVX A,@DPTR"
0313,L030F,write,21FA,"MOVX @DPTR,A"
0315,L030F,write,21FA,"MOVX @DPTR,A"
0317,L030F,write,21FA,"MOVX @DPTR,A"
031D,L0318,write,2248,"MOVX @DPTR,A"
031F,L0318,write,2248,"MOVX @DPTR,A"
0323,L0318,read,046D,"MOVX A,@DPTR"
032C,L0318,write,224A,"MOVX @DPTR,A"
032E,L0318,write,224A,"MOVX @DPTR,A"
0337,L0332,write,224A,"MOVX @DPTR,A"
033B,L0332,write,224A,"MOVX @DPTR,A"
0341,L033C,write,224C,"MOVX @DPTR,A"
0343,L033C,write,224C,"MOVX @DPTR,A"
0349,L033C,write,224F,"MOVX @DPTR,A"
034B,L033C,write,224F,"MOVX @DPTR,A"
0393,L038F,read,224F,"MOVX A,@DPTR"
0397,L038F,write,224F,"MOVX @DPTR,A"
039D,L038F,write,224F,"MOVX @DPTR,A"
03A3,L03A3,read,224F,"MOVX A,@DPTR"
03AD,L03AB,write,224F,"MOVX @DPTR,A"
03AF,L03AB,read,224F,"MOVX A,@DPTR"
03B3,L03B2,read,224F,"MOVX A,@DPTR"
03B6,L03B2,write,224F,"MOVX @DPTR,A"
03F6,L03F3,read,2248,"MOVX A,@DPTR"
0400,L03F3,read,2248,"MOVX A,@DPTR"
0417,L0410,read,0473,"MOVX A,@DPTR"
042A,L042A,read,0568,"MOVX A,@DPTR"
0435,L0435,read,0568,"MOVX A,@DPTR"
0445,L0445,read,0568,"MOVX A,@DPTR"
0467,L0467,read,055C,"MOVX A,@DPTR"
0485,L0478,read,0470,"MOVX A,@DPTR"
0490,L0490,read,21F3,"MOVX A,@DPTR"
0495,L0490,read,21F3,"MOVX A,@DPTR"
04B0,L04B0,read,21F5,"MOVX A,@DPTR"
04BE,L04BD,write,21F5,"MOVX @DPTR,A"
04C4,L04C4,read,21F5,"MOVX A,@DPTR"
04CE,L04C4,write,21F5,"MOVX @DPTR,A"
0501,L0500,write,21F5,"MOVX @DPTR,A"
052C,L052C,read,21F5,"MOVX A,@DPTR"
053B,L0536,read,21F5,"MOVX A,@DPTR"
0547,L0536,write,21F5,"MOVX @DPTR,A"
054C,L0536,read,21FA,"MOVX A,@DPTR"
0556,L0536,write,21FD,"MOVX @DPTR,A"
0561,L055E,read,0485,"MOVX A,@DPTR"
056F,L0566,write,0485,"MOVX @DPTR,A"
057A,L0577,read,046A,"MOVX A,@DPTR"
0584,L0581,read,046C,"MOVX A,@DPTR"
058E,L058B,read,046A,"MOVX A,@DPTR"
059D,L059A,read,0485,"MOVX A,@DPTR"
05AC,L05A6,read,0485,"MOVX A,@DPTR"
05B0,L05A6,write,21FD,"MOVX @DPTR,A"
05B7,L05B7,read,21FD,"MOVX A,@DPTR"
05D3,L05D1,read,21FD,"MOVX A,@DPTR"
05D8,L05D1,write,21FD,"MOVX @DPTR,A"
05E4,L05E2,write,21FD,"MOVX @DPTR,A"
05E8,L05E2,write,21FB,"MOVX @DPTR,A"
05EE,L05E2,write,21FE,"MOVX @DPTR,A"
