addr,value,main_access_count,main_accesses
0004,12,0,
0005,03,0,
0006,25,0,
0007,15,0,
0401,00,0,
0464,42,18,0029:read:L0011 00C6:read:L00A1 02A7:read:L026F 08F1:read:L08EE 1784:read:L1776 17F9:read:L17F6 1A68:read:L1A65 1A8C:read:L1A7E 25A3:read:L259C 2BE6:read:L2BE3 2DBF:read:L2DBC 3035:read:L3027
0465,6B,13,175B:read:L1755 19A5:read:L199C 1B29:read:L1B23 1C3B:read:L1C38 1C96:read:L1C93 2587:read:L2581 2899:read:L2893 28D1:read:L28CE 3483:read:L3480 461B:read:L4618 466A:read:L4667 5020:read:L501D
0466,B7,8,0269:read:L025A 1580:read:L1574 1814:read:L1806 1FB3:read:L1FB0 3494:read:L3491 4036:read:L4029 4044:read:L4040 4531:read:L452E
0467,81,9,0A51:read:L0A4B 1D48:read:L1D2C 1D7F:read:L1D7C 1DCA:read:L1DBF 316A:read:L315E 3172:read:L3172 36F4:read:L36E4 401A:read:L4015 409E:read:L409B
0468,DE,17,0F82:read:L0F7C 1599:read:L1596 1845:read:L183D 1A5E:read:L1A5B 1D97:read:L1D94 2058:read:L204F 2CAC:read:L2CA9 2E35:read:L2E1E 2ECC:read:L2EB0 2F19:read:L2F09 31F6:read:L31E1 3207:write:L3207
0469,F0,10,009B:read:L0094 01F3:read:L01F0 17A9:read:L17A6 2629:read:L2626 2EB3:read:L2EB0 36D9:read:L36D4 3888:read:L3885 3902:read:L38FC 46A3:read:L46A0 4750:read:L474A
046A,00,24,00D4:read:L00D1 02B7:read:L02B4 057A:read:L0577 058E:read:L058B 079E:read:L079B 17C8:read:L17BD 1A46:read:L1A40 1CBE:read:L1CB8 2357:read:L234A 236F:read:L2369 2615:read:L260F 268D:read:L267C
046B,00,8,08B6:read:L08B3 15FA:read:L15F7 160D:read:L160A 3895:read:L3892 38F2:read:L38EC 53BF:read:L53AD 5768:read:L5762 578F:read:L5789
046C,FB,31,013A:read:L0123 0190:read:L0179 0253:read:L0236 02C1:read:L02BE 0584:read:L0581 1AD5:read:L1AC8 1DA4:read:L1D9E 1E01:read:L1DFE 1EBD:read:L1EB2 1ED6:read:L1ED0 20E0:read:L20DD 2148:read:L2145
046D,FE,10,0323:read:L0318 0872:read:L0865 0AA0:read:L0A8F 11D6:read:L11D0 35F2:read:L35EC 362C:read:L3626 387D:read:L387A 3A08:read:L39FC 413B:read:L412E 4AA3:read:L4A9D
046F,00,3,3012:read:L2FF1 304C:read:L303D 385E:read:L3854
0470,12,1,0485:read:L0478
0471,02,0,
0472,A0,1,393F:read:L393A
0473,01,6,0417:read:L0410 3115:read:L3112 3844:read:L383B 3867:read:L3864 3872:read:L386F 4C3B:read:L4C31
0474,3B,8,313E:read:L313B 3723:read:L371A 384E:read:L384B 3919:read:L3916 3932:read:L391D 3D34:read:L3D31 40B1:read:L40AE 54D7:read:L54D0
0475,55,4,0123:read:L0123 0181:read:L0179 1534:read:L152A 1547:read:L1546
0476,55,0,
0477,05,0,
0478,06,2,4664:read:L4652 4759:read:L474A
0479,00,0,
047A,00,0,
047B,18,1,1F45:read:L1F3E
047C,23,1,3027:read:L3027
047D,0A,4,1577:read:L1574 3144:read:L313B 36E0:read:L36D4 4021:read:L4015
047E,00,11,010B:read:L0108 1067:read:L105C 1B1D:read:L1B1A 1D63:read:L1D5D 1DE7:read:L1DDC 1E68:read:L1E62 2C50:read:L2C4A 465B:read:L4652 4892:read:L4888 4F93:read:L4F72 4FA4:read:L4FA1
047F,00,0,
0480,00,0,
0481,00,0,
0482,00,0,
0483,0F,6,029F:read:L026F 0848:read:L083F 17B0:read:L17A6 2DD5:read:L2DD2 2DE4:read:L2DD2 3D39:read:L3D31
0489,03,1,38AE:read:L38AE
048A,01,0,
048B,04,0,
04A0,78,2,502C:read:L501D 5030:read:L501D
04A1,2F,0,
04A2,4B,0,
04A3,1D,0,
04A4,2D,0,
04A5,9F,0,
04A6,1C,0,
04A7,83,0,
04A8,2A,0,
04A9,7F,0,
04AA,35,0,
04AB,1F,0,
04AC,2D,0,
04AD,9F,0,
04AE,72,0,
04AF,0F,0,
04B0,02,1,3106:read:L3106
04C0,01,0,
04D0,09,0,
04E0,09,0,
04F0,09,0,
0500,02,0,
0501,0B,3,340B:read:L340B 3412:read:L340B 342D:read:L3424
0502,0B,0,
0503,0D,0,
0504,15,0,
0505,01,0,
0510,02,0,
0511,0A,0,
0512,0B,0,
0513,0E,0,
0514,15,0,
0515,02,0,
0520,04,0,
0521,0C,0,
0522,0B,0,
0523,0F,0,
0524,0B,0,
0525,0F,0,
0526,0B,0,
0527,0F,0,
0528,15,0,
0529,04,0,
0530,05,0,
0531,0F,0,
0532,0B,0,
0533,0F,0,
0534,0B,0,
0535,0F,0,
0536,0B,0,
0537,0F,0,
0538,0B,0,
0539,0F,0,
053A,15,0,
053B,08,0,
0550,0B,0,
0551,0B,0,
0552,0B,0,
0553,0B,0,
0554,0B,0,
0555,0B,0,
0556,0B,0,
0557,0B,0,
0558,0B,0,
0559,0B,0,
055A,0B,1,407E:read:L4074
055B,0B,0,
055C,0B,1,0467:read:L0467
055D,0B,0,
055E,0B,0,
055F,02,0,
0560,01,0,
0561,01,0,
0562,08,0,
0563,00,0,
0564,00,0,
0565,01,0,
0566,00,0,
0567,00,0,
0568,01,3,042A:read:L042A 0435:read:L0435 0445:read:L0445
057F,02,0,
0580,01,0,
0581,01,0,
0582,09,0,
0583,00,0,
059F,02,0,
05A0,01,0,
05A1,01,0,
05A2,09,0,
05A3,02,0,
05BF,02,0,
05C0,01,0,
05C1,01,0,
05C2,09,0,
05C3,03,0,
05DF,02,0,
05E0,01,0,
05E1,01,0,
05E2,09,0,
05E3,04,0,
05FF,02,0,
0600,01,0,
0601,01,0,
0602,09,0,
0603,05,0,
061F,02,0,
0620,01,0,
0621,01,0,
0622,09,0,
0623,06,0,
063F,02,0,
0640,01,0,
0641,01,0,
0642,09,0,
0643,07,0,
065F,02,0,
0660,01,0,
0661,01,0,
0662,09,0,
0663,08,0,
067F,02,0,
0680,01,0,
0681,01,0,
0682,09,0,
0683,09,0,
06E1,0F,0,
06E2,0F,0,
06E3,0F,0,
06E4,0F,0,
06E5,0F,0,
06E6,0F,0,
08AA,01,4,185F:read:L185C 23DC:read:L23D9 41C4:read:L41B8 43D4:read:L43CB
